model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE,urban100,img_003.png,x8,x4,43.79384680973065,0.0064611178042193185,0.010705888271331787,0.010841920040547848,0.002119295299053192
LTE-NoCellPhase,urban100,img_003.png,x8,x4,59.44092211093506,0.0010664828953221104,0.0019361170707270503,0.002035940531641245,0.000159537885338068
LTE-PhaseZ,urban100,img_003.png,x8,x4,59.88495113956951,0.001013333599637003,0.0018294414039701223,0.0019332504598423839,0.00016679806867614388
SC-INR,urban100,img_003.png,x8,x4,48.416685715713,0.0037945974821900685,0.006906946189701557,0.006776119582355022,0.0008484671707265079
SC-INR-NoSinc,urban100,img_003.png,x8,x4,59.532188264031596,0.0010553355956408601,0.0019378900760784745,0.0020002173259854317,0.00017762879724614322
SC-INR-EQ,urban100,img_003.png,x8,x4,47.92870094326432,0.004013885252143663,0.007767157629132271,0.007504535838961601,0.0007598385564051569
LTE,urban100,img_003.png,x16,x4,38.80356553278545,0.011476824044513822,0.018113998696208,0.01783333346247673,0.003350101877003908
LTE-NoCellPhase,urban100,img_003.png,x16,x4,69.78671897497378,0.00032408882126422567,0.0006005413015373051,0.000600971921812743,5.896993388887495e-05
LTE-PhaseZ,urban100,img_003.png,x16,x4,70.06176147102333,0.00031398718731930514,0.000592035532463342,0.0005980764981359243,5.7063851272687316e-05
SC-INR,urban100,img_003.png,x16,x4,48.168337287946954,0.0039046592099547407,0.006512676365673542,0.006883576512336731,0.0009139018366113305
SC-INR-NoSinc,urban100,img_003.png,x16,x4,69.35395528179262,0.0003406451703472603,0.0006286422139964998,0.0006281929672695696,7.930536230560392e-05
SC-INR-EQ,urban100,img_003.png,x16,x4,47.958703907018304,0.0040000443325715245,0.007392148021608591,0.007337203249335289,0.0009340460528619587
LTE,urban100,img_003.png,x30,x4,38.985119887566114,0.01123942272203844,0.015764376148581505,0.015318883582949638,0.0047315191477537155
LTE-NoCellPhase,urban100,img_003.png,x30,x4,67.5179515524106,0.0004208258626733601,0.0008081596461124718,0.0007148970034904778,8.626892667962238e-05
LTE-PhaseZ,urban100,img_003.png,x30,x4,67.77884901064701,0.00040837349735940216,0.0007791781099513173,0.0006890313234180212,9.020361176226288e-05
SC-INR,urban100,img_003.png,x30,x4,49.24067626866914,0.0034511686807444553,0.0053765238262712955,0.005311750806868076,0.0011717259185388684
SC-INR-NoSinc,urban100,img_003.png,x30,x4,67.4743093252682,0.00042294562189492844,0.0008168671629391611,0.0007213341305032372,9.117829176830128e-05
SC-INR-EQ,urban100,img_003.png,x30,x4,49.987077948800795,0.0031669857012287944,0.0052594211883842945,0.005161160137504339,0.0011768500553444028
LTE,urban100,img_004.png,x8,x4,39.160591031364575,0.011014643578486432,0.016358545050024986,0.015684831887483597,0.0051358537748456
LTE-NoCellPhase,urban100,img_004.png,x8,x4,55.41080039440345,0.0016961332983916795,0.0025880157481878996,0.00289931776933372,0.00036733210436068475
