model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
Bicubic,bsd100,108082.png,x30,18.996352966759943,0.3500706914743368,0.1122489666575274,0.15745627880096436,0.1910143941640854,0.050848670303821564,0.12455052137374878,1.4722703392293816e-06,5.60451745942769e-08,5.936867135116019e-09
LIIF,bsd100,108082.png,x30,19.46803081776887,0.3910080088110225,0.10631595853784226,0.15751908719539642,0.1884952038526535,0.03302300348877907,0.12451539933681488,1.2898469876970702e-06,5.603202399559949e-08,5.927538637670786e-09
LIIF-EQ,bsd100,108082.png,x30,19.4950380575369,0.3920683010659481,0.10598590123515816,0.15702052414417267,0.18817174434661865,0.0324634313583374,0.12452489137649536,1.2798925928777792e-06,5.604907024539526e-08,5.929090628450726e-09
LTE,bsd100,108082.png,x30,19.517181533863774,0.39242055374598295,0.10571604893571843,0.1564466804265976,0.18736068904399872,0.03135611489415169,0.1245221197605133,1.271881498194226e-06,5.604022561188458e-08,5.92994599652693e-09
LTE-EQ,bsd100,108082.png,x30,19.522708907698618,0.3895374703641695,0.1056487966146461,0.15563921630382538,0.1871221661567688,0.03367478400468826,0.12451940029859543,1.2699915349854628e-06,5.601601006901413e-08,5.929558077983516e-09
LTE-NoCell,bsd100,108082.png,x30,19.5248978272639,0.39143444237375896,0.1056221755555847,0.1555401086807251,0.18700715899467468,0.0353364460170269,0.12451138347387314,1.2691446995348855e-06,5.6032157831594536e-08,5.927626491306679e-09
LTE-FeaturePhase,bsd100,108082.png,x30,19.488156073425856,0.39166357376966504,0.10606990901681751,0.15619415044784546,0.18739266693592072,0.03512698784470558,0.1245136484503746,1.2824688130289783e-06,5.6034959289403526e-08,5.928460437312998e-09
SC-INR-Fixed,bsd100,108082.png,x30,19.5152110099857,0.39209673994695143,0.10574003492206993,0.15545868873596191,0.1864943653345108,0.03356253728270531,0.12452653050422668,1.2725265179686229e-06,5.606182927338447e-08,5.926827970324964e-09
SC-INR-Adaptive,bsd100,108082.png,x30,19.55512641482362,0.3949481538945399,0.10525522870783037,0.1560221016407013,0.1871882826089859,0.03330118581652641,0.12451636791229248,1.2582324147973485e-06,5.6037872641960825e-08,5.926799222396707e-09
Bicubic,bsd100,109053.png,x4,28.309659668190097,0.8079456181898284,0.03841643112666203,0.068617083132267,0.07260270416736603,0.004339170176535845,0.09605354815721512,2.7003985104386805e-08,2.07129570246344e-08,2.611662847791179e-09
LIIF,bsd100,109053.png,x4,29.317935900517583,0.849351549090204,0.03420607195616959,0.06096591055393219,0.06301867216825485,0.003709020558744669,0.09410136938095093,1.056014473665513e-08,1.7842828645961203e-08,2.5919270014429554e-09
LIIF-EQ,bsd100,109053.png,x4,29.35421738513711,0.8503299527135542,0.034063489127452766,0.060559675097465515,0.06258058547973633,0.0036877437960356474,0.09391183406114578,1.0552832550811857e-08,1.7640717036194973e-08,2.588509074008061e-09
LTE,bsd100,109053.png,x4,29.299926479624663,0.8491469383820097,0.0342770687863877,0.06104012578725815,0.0631241723895073,0.003700653789564967,0.09409920871257782,1.0948792529526458e-08,1.7858231428228142e-08,2.593061104924931e-09
LTE-EQ,bsd100,109053.png,x4,29.33667382722314,0.8492511627644396,0.034132359298470395,0.06074083596467972,0.06275530159473419,0.0037060652393847704,0.09397223591804504,1.066049088680279e-08,1.7714173365155574e-08,2.590473778174612e-09
